hex,count_good_aircraft,count_bad_aircraft
8408299ffffffff,28,0
840829bffffffff,44,0
840829dffffffff,22,0
84082a1ffffffff,9,0
84082a3ffffffff,26,0
84082a5ffffffff,5,0
84082a7ffffffff,28,0
84082a9ffffffff,2,0
84082abffffffff,15,0
84082adffffffff,4,0
84082b1ffffffff,52,0
84082b3ffffffff,7,0
84082b5ffffffff,51,0
84082b7ffffffff,5,0
84082b9ffffffff,36,0
84082bbffffffff,53,0
84082bdffffffff,30,0
84082c9ffffffff,1,0
84082d1ffffffff,1,0
84082d3ffffffff,6,0
84082d7ffffffff,1,0
84082d9ffffffff,1,0
84082dbffffffff,5,0
84082e1ffffffff,1,0
84082e3ffffffff,2,0
84082e5ffffffff,1,0
84082e7ffffffff,2,0
84082e9ffffffff,1,0
84082edffffffff,1,0
8408301ffffffff,3,0
8408303ffffffff,5,0
8408305ffffffff,9,0
8408307ffffffff,11,0
8408309ffffffff,1,0
840830dffffffff,6,0
8408311ffffffff,2,0
8408313ffffffff,1,0
8408315ffffffff,1,0
8408317ffffffff,3,0
8408319ffffffff,1,0
840831dffffffff,2,0
8408321ffffffff,9,0
8408323ffffffff,10,0
8408325ffffffff,18,0
8408327ffffffff,14,0
8408329ffffffff,18,0
840832bffffffff,19,0
840832dffffffff,10,0
8408331ffffffff,10,0
8408333ffffffff,5,0
8408335ffffffff,14,0
8408337ffffffff,16,0
8408339ffffffff,4,0
840833bffffffff,2,0
840833dffffffff,15,0
8408341ffffffff,6,0
8408343ffffffff,2,0
8408345ffffffff,4,0
8408347ffffffff,5,0
8408349ffffffff,3,0
840834bffffffff,5,0
840834dffffffff,3,0
8408351ffffffff,1,0
8408357ffffffff,1,0
840835dffffffff,1,0
8408361ffffffff,16,0
8408363ffffffff,7,0
8408365ffffffff,22,0
8408367ffffffff,26,0
8408369ffffffff,3,0
840836bffffffff,4,0
840836dffffffff,13,0
8408801ffffffff,39,0
8408803ffffffff,31,0
8408805ffffffff,127,0
8408807ffffffff,14,0
8408809ffffffff,23,0
840880bffffffff,36,0
840880dffffffff,78,0
8408811ffffffff,6,0
8408813ffffffff,5,0
8408815ffffffff,9,0
8408817ffffffff,3,0
8408819ffffffff,26,0
840881bffffffff,19,0
840881dffffffff,24,0
8408821ffffffff,33,0
8408823ffffffff,56,0
8408825ffffffff,25,0
8408827ffffffff,20,0
8408829ffffffff,107,0
840882bffffffff,50,0
840882dffffffff,52,1
8408831ffffffff,18,0
8408833ffffffff,13,1
8408835ffffffff,56,0
8408837ffffffff,55,0
8408839ffffffff,12,0
840883bffffffff,13,0
840883dffffffff,36,0
8408841ffffffff,15,0
8408843ffffffff,16,0
8408845ffffffff,44,0
8408847ffffffff,20,0
8408849ffffffff,16,0
840884bffffffff,17,0
840884dffffffff,26,0
8408851ffffffff,10,0
8408853ffffffff,14,0
8408855ffffffff,8,0
8408857ffffffff,25,0
8408859ffffffff,7,0
840885bffffffff,7,0
840885dffffffff,12,0
8408861ffffffff,135,0
8408863ffffffff,178,0
8408865ffffffff,106,0
8408867ffffffff,119,0
8408869ffffffff,75,0
840886bffffffff,79,0
840886dffffffff,83,0
8408881ffffffff,4,0
8408883ffffffff,4,0
8408885ffffffff,8,0
8408887ffffffff,5,0
8408889ffffffff,4,0
840888bffffffff,4,0
840888dffffffff,4,0
8408891ffffffff,3,0
8408893ffffffff,5,0
8408895ffffffff,4,0
8408897ffffffff,4,0
8408899ffffffff,8,0
840889bffffffff,4,0
840889dffffffff,6,0
84088a1ffffffff,9,0
84088a3ffffffff,13,0
84088a5ffffffff,9,3
84088a7ffffffff,10,0
84088a9ffffffff,13,0
84088abffffffff,7,0
84088adffffffff,9,0
84088b1ffffffff,6,0
84088b3ffffffff,7,1
84088b5ffffffff,9,0
84088b7ffffffff,8,0
84088b9ffffffff,5,0
84088bbffffffff,4,0
84088bdffffffff,7,1
84088c1ffffffff,8,0
84088c3ffffffff,7,0
84088c5ffffffff,8,0
84088c7ffffffff,4,0
84088c9ffffffff,21,0
84088cbffffffff,18,0
84088cdffffffff,7,0
84088d1ffffffff,3,0
84088d3ffffffff,6,0
84088d5ffffffff,6,0
84088d7ffffffff,5,0
84088d9ffffffff,21,0
84088dbffffffff,14,0
84088ddffffffff,4,0
84088e1ffffffff,8,0
84088e3ffffffff,12,0
84088e5ffffffff,9,1
84088e7ffffffff,12,0
84088e9ffffffff,4,0
84088ebffffffff,7,0
84088edffffffff,5,0
8408901ffffffff,39,0
8408903ffffffff,41,0
8408905ffffffff,40,1
8408907ffffffff,20,1
8408909ffffffff,61,1
840890bffffffff,43,3
840890dffffffff,44,1
8408911ffffffff,48,0
8408913ffffffff,61,1
8408915ffffffff,37,0
8408917ffffffff,36,0
8408919ffffffff,43,0
840891bffffffff,34,0
840891dffffffff,50,0
8408921ffffffff,48,6
8408923ffffffff,57,4
8408925ffffffff,28,2
8408927ffffffff,16,0
8408929ffffffff,55,9
840892bffffffff,74,3
840892dffffffff,41,1
8408931ffffffff,65,1
8408933ffffffff,44,1
8408935ffffffff,46,4
8408937ffffffff,37,2
8408939ffffffff,64,0
840893bffffffff,64,0
840893dffffffff,82,3
8408941ffffffff,52,3
8408943ffffffff,58,1
8408945ffffffff,50,0
8408947ffffffff,63,1
8408949ffffffff,60,1
840894bffffffff,57,0
840894dffffffff,56,3
8408951ffffffff,51,1
8408953ffffffff,39,1
8408955ffffffff,61,0
8408957ffffffff,40,0
8408959ffffffff,98,1
840895bffffffff,90,0
840895dffffffff,62,0
8408961ffffffff,43,4
8408963ffffffff,43,2
8408965ffffffff,51,5
8408967ffffffff,57,10
8408969ffffffff,44,3
840896bffffffff,45,2
840896dffffffff,49,2
8408981ffffffff,44,0
8408983ffffffff,42,3
8408985ffffffff,43,0
8408987ffffffff,43,3
8408989ffffffff,61,7
840898bffffffff,47,4
840898dffffffff,27,7
8408991ffffffff,65,3
8408993ffffffff,32,9
8408995ffffffff,64,9
8408997ffffffff,114,33
8408999ffffffff,49,4
840899bffffffff,11,4
840899dffffffff,56,5
84089a1ffffffff,42,0
84089a3ffffffff,48,5
84089a5ffffffff,64,5
84089a7ffffffff,31,5
84089a9ffffffff,25,3
84089abffffffff,38,2
84089adffffffff,8,1
84089b1ffffffff,57,5
84089b3ffffffff,22,8
84089b5ffffffff,41,4
84089b7ffffffff,11,1
84089b9ffffffff,69,9
84089bbffffffff,62,7
84089bdffffffff,64,8
84089c1ffffffff,38,0
84089c3ffffffff,39,2
84089c5ffffffff,60,1
84089c7ffffffff,61,5
84089c9ffffffff,26,0
84089cbffffffff,44,0
84089cdffffffff,34,0
84089d1ffffffff,59,2
84089d3ffffffff,24,1
84089d5ffffffff,47,3
84089d7ffffffff,62,5
84089d9ffffffff,44,1
84089dbffffffff,20,0
84089ddffffffff,56,0
84089e1ffffffff,45,0
84089e3ffffffff,46,1
84089e5ffffffff,37,0
84089e7ffffffff,28,2
84089e9ffffffff,17,0
84089ebffffffff,17,0
84089edffffffff,40,0
8408a01ffffffff,6,0
8408a03ffffffff,9,0
8408a05ffffffff,9,0
8408a07ffffffff,7,0
8408a09ffffffff,8,0
8408a0bffffffff,7,0
8408a0dffffffff,12,0
8408a11ffffffff,6,0
8408a13ffffffff,5,0
8408a15ffffffff,9,0
8408a17ffffffff,6,0
8408a19ffffffff,4,0
8408a1bffffffff,3,0
8408a1dffffffff,6,0
8408a21ffffffff,27,0
8408a23ffffffff,12,0
8408a25ffffffff,26,0
8408a27ffffffff,27,0
8408a29ffffffff,31,0
8408a2bffffffff,16,0
8408a2dffffffff,26,0
8408a31ffffffff,4,0
8408a33ffffffff,5,0
8408a35ffffffff,13,0
8408a37ffffffff,6,0
8408a39ffffffff,5,0
8408a3bffffffff,3,0
8408a3dffffffff,7,0
8408a41ffffffff,123,0
8408a43ffffffff,42,0
8408a45ffffffff,180,0
8408a47ffffffff,28,0
8408a49ffffffff,46,0
8408a4bffffffff,54,0
8408a4dffffffff,106,0
8408a51ffffffff,18,0
8408a53ffffffff,7,0
8408a55ffffffff,10,0
8408a57ffffffff,10,0
8408a59ffffffff,49,0
8408a5bffffffff,32,0
8408a5dffffffff,44,0
8408a61ffffffff,30,0
8408a63ffffffff,30,0
8408a65ffffffff,15,0
8408a67ffffffff,23,0
8408a69ffffffff,112,0
8408a6bffffffff,52,0
8408a6dffffffff,63,0
8408a81ffffffff,5,0
8408a83ffffffff,4,0
8408a85ffffffff,10,0
8408a87ffffffff,9,0
8408a89ffffffff,5,0
8408a8bffffffff,5,0
8408a8dffffffff,8,0
8408a91ffffffff,3,0
8408a93ffffffff,5,0
8408a95ffffffff,4,0
8408a97ffffffff,7,0
8408a99ffffffff,1,0
8408a9bffffffff,2,0
8408a9dffffffff,2,0
8408aa1ffffffff,18,0
8408aa3ffffffff,23,0
8408aa5ffffffff,20,0
8408aa7ffffffff,26,0
8408aa9ffffffff,10,0
8408aabffffffff,9,0
8408aadffffffff,8,0
8408ab1ffffffff,14,0
8408ab3ffffffff,17,0
8408ab5ffffffff,20,0
8408ab7ffffffff,20,0
8408ab9ffffffff,5,0
8408abbffffffff,8,0
8408abdffffffff,6,0
8408ac1ffffffff,12,0
8408ac3ffffffff,10,0
8408ac5ffffffff,8,0
8408ac7ffffffff,11,0
8408ac9ffffffff,6,0
8408acbffffffff,11,0
8408acdffffffff,4,0
8408ad1ffffffff,3,0
8408ad3ffffffff,3,0
